tokenid,collection_mint_number,asset_token_id,asset_index,token_index
gwlde-4ykor-uwiaa-aaaaa-cuarg-yaqca-acybr-a,196,2psu6-3akor-uwiaa-aaaaa-c4chg-yaqca-aaadc-a,196,180322
vzv7t-eqkor-uwiaa-aaaaa-cuarg-yaqca-acymm-a,890,2qiye-jakor-uwiaa-aaaaa-c4chg-yaqca-aaan5-a,890,181016
vfytv-oykor-uwiaa-aaaaa-cuarg-yaqca-acykf-a,748,2rtik-fakor-uwiaa-aaaaa-c4chg-yaqca-aaalw-a,748,180874
dl4u5-5akor-uwiaa-aaaaa-cuarg-yaqca-acybp-a,192,2seiw-5ikor-uwiaa-aaaaa-c4chg-yaqca-aaada-a,192,180318
hqtrh-hakor-uwiaa-aaaaa-cuarg-yaqca-acyr3-q,1241,2sh6n-mikor-uwiaa-aaaaa-c4chg-yaqca-aaatm-q,1241,181367
ft6wt-rqkor-uwiaa-aaaaa-cuarg-yaqca-acytw-q,1359,2t4od-aikor-uwiaa-aaaaa-c4chg-yaqca-aaavh-q,1359,181485
ft5ai-aqkor-uwiaa-aaaaa-cuarg-yaqca-acyd2-a,342,2t7yy-rikor-uwiaa-aaaaa-c4chg-yaqca-aaafl-a,342,180468
futbr-qakor-uwiaa-aaaaa-cuarg-yaqca-acysw-a,1294,2urzb-bykor-uwiaa-aaaaa-c4chg-yaqca-aaauh-a,1294,181420
fuqxk-bakor-uwiaa-aaaaa-cuarg-yaqca-acyc2-q,279,2usp2-qykor-uwiaa-aaaaa-c4chg-yaqca-aaael-q,279,180405
dmrd7-4qkor-uwiaa-aaaaa-cuarg-yaqca-acyap-q,129,2vj7u-4ykor-uwiaa-aaaaa-c4chg-yaqca-aaaca-q,129,180255
hx6gf-gqkor-uwiaa-aaaaa-cuarg-yaqca-acyq3-a,1176,2vkjp-nykor-uwiaa-aaaaa-c4chg-yaqca-aaasm-a,1176,181302
iuk2k-wikor-uwiaa-aaaaa-cuarg-yaqca-acyzj-a,1716,2w5jt-vqkor-uwiaa-aaaaa-c4chg-yaqca-aaa22-a,1716,181842
iujmr-hikor-uwiaa-aaaaa-cuarg-yaqca-acyjf-q,685,2w67i-eqkor-uwiaa-aaaaa-c4chg-yaqca-aaakw-q,685,180811
lmjtv-5ikor-uwiaa-aaaaa-cuarg-yaqca-acylm-q,827,2xfpg-iqkor-uwiaa-aaaaa-c4chg-yaqca-aaam5-q,827,180953
nlsl2-sykor-uwiaa-aaaaa-cuarg-yaqca-acyhg-q,559,2yfrm-hqkor-uwiaa-aaaaa-c4chg-yaqca-aaaix-q,559,180685
nlr5b-dykor-uwiaa-aaaaa-cuarg-yaqca-acyxk-a,1590,2yghx-wqkor-uwiaa-aaaaa-c4chg-yaqca-aaay3-a,1590,181716
jaekl-eykor-uwiaa-aaaaa-cuarg-yaqca-acynl-q,953,2z6bc-lqkor-uwiaa-aaaaa-c4chg-yaqca-aaao4-q,953,181079
s4y7s-3ikor-uwiaa-aaaaa-cuarg-yaqca-acx7w-a,78,32eck-uqkor-uwiaa-aaaaa-c4chg-yaqca-aaabh-a,78,180204
odigo-vykor-uwiaa-aaaaa-cuarg-yaqca-acyp2-q,1111,32hur-fqkor-uwiaa-aaaaa-c4chg-yaqca-aaarl-q,1111,181237
cceyu-jykor-uwiaa-aaaaa-cuarg-yaqca-acyvp-q,1473,334e7-jqkor-uwiaa-aaaaa-c4chg-yaqca-aaaxa-q,1473,181599
gzl5o-tykor-uwiaa-aaaaa-cuarg-yaqca-acyf3-a,472,337se-yqkor-uwiaa-aaaaa-c4chg-yaqca-aaahm-a,472,180598
cfjpw-iikor-uwiaa-aaaaa-cuarg-yaqca-acyup-a,1408,34rt5-iakor-uwiaa-aaaaa-c4chg-yaqca-aaawa-a,1408,181534
g6gkm-sikor-uwiaa-aaaaa-cuarg-yaqca-acye3-q,409,34sfg-zakor-uwiaa-aaaaa-c4chg-yaqca-aaagm-q,409,180535
