tokenid,collection_mint_number,asset_token_id,asset_index,token_index
2uz3d-gikor-uwiaa-aaaaa-cuarg-yaqca-acyxt-q,1609,c23bo-5ykor-uwiaa-aaaaa-c4chg-yaqca-aaaze-q,1609,181735
zcb4y-oikor-uwiaa-aaaaa-cuarg-yaqca-acyhx-a,592,c2yxv-mykor-uwiaa-aaaaa-c4chg-yaqca-aaaji-a,592,180718
67mmj-bikor-uwiaa-aaaaa-cuarg-yaqca-acyns-a,966,c3dh3-aykor-uwiaa-aaaaa-c4chg-yaqca-aaapd-a,966,181092
6yb3l-aykor-uwiaa-aaaaa-cuarg-yaqca-acyms-q,903,c4oqz-bikor-uwiaa-aaaaa-c4chg-yaqca-aaaod-q,903,181029
zfml2-pykor-uwiaa-aaaaa-cuarg-yaqca-acygx-q,529,c5vax-nikor-uwiaa-aaaaa-c4chg-yaqca-aaaii-q,529,180655
2tumb-hykor-uwiaa-aaaaa-cuarg-yaqca-acywt-a,1544,c5wwm-4ikor-uwiaa-aaaaa-c4chg-yaqca-aaaye-a,1544,181670
zbw4e-wakor-uwiaa-aaaaa-cuarg-yaqca-acypb-a,1060,c6bwq-eakor-uwiaa-aaaaa-c4chg-yaqca-aaaqs-a,1060,181186
f6gfy-yqkor-uwiaa-aaaaa-cuarg-yaqca-acx7n-q,61,c6cal-vakor-uwiaa-aaaaa-c4chg-yaqca-aaaa6-q,61,180187
qa3jp-nqkor-uwiaa-aaaaa-cuarg-yaqca-acyvi-a,1458,c72g6-iakor-uwiaa-aaaaa-c4chg-yaqca-aaawz-a,1458,181584
qay7u-4qkor-uwiaa-aaaaa-cuarg-yaqca-acyfe-q,427,c7zqf-zakor-uwiaa-aaaaa-c4chg-yaqca-aaagv-q,427,180553
3vpiz-nakor-uwiaa-aaaaa-cuarg-yaqca-acywv-a,1548,caake-2akor-uwiaa-aaaaa-c4chg-yaqca-aaayg-a,1548,181674
3vm6c-4akor-uwiaa-aaaaa-cuarg-yaqca-acygz-q,533,cad47-lakor-uwiaa-aaaaa-c4chg-yaqca-aaaik-q,533,180659
6fxhd-gqkor-uwiaa-aaaaa-cuarg-yaqca-acymq-q,899,cbymr-hakor-uwiaa-aaaaa-c4chg-yaqca-aaaob-q,899,181025
q5nvh-lykor-uwiaa-aaaaa-cuarg-yaqca-acyvk-a,1462,ccm2w-oikor-uwiaa-aaaaa-c4chg-yaqca-aaaw3-a,1462,181588
q5od4-2ykor-uwiaa-aaaaa-cuarg-yaqca-acyfg-q,431,ccpmn-7ikor-uwiaa-aaaaa-c4chg-yaqca-aaagx-q,431,180557
ey5ba-sikor-uwiaa-aaaaa-cuarg-yaqca-acx7l-q,57,cdu4d-tikor-uwiaa-aaaaa-c4chg-yaqca-aaaa4-q,57,180183
shpp6-tykor-uwiaa-aaaaa-cuarg-yaqca-acyo7-a,1056,cdxky-cikor-uwiaa-aaaaa-c4chg-yaqca-aaaqq-a,1056,181182
sacy4-sikor-uwiaa-aaaaa-cuarg-yaqca-acyp7-q,1121,ce252-dykor-uwiaa-aaaaa-c4chg-yaqca-aaarq-q,1121,181247
ml7io-vqkor-uwiaa-aaaaa-cuarg-yaqca-acyal-a,120,cezlb-sykor-uwiaa-aaaaa-c4chg-yaqca-aaab4-a,120,180246
nm4kd-cikor-uwiaa-aaaaa-cuarg-yaqca-acywk-q,1527,cfbnu-pykor-uwiaa-aaaaa-c4chg-yaqca-aaax3-q,1527,181653
nm74y-tikor-uwiaa-aaaaa-cuarg-yaqca-acygg-a,494,cfc3p-6ykor-uwiaa-aaaaa-c4chg-yaqca-aaahx-a,494,180620
6c2qb-hakor-uwiaa-aaaaa-cuarg-yaqca-acynq-a,962,cgv3t-gqkor-uwiaa-aaaaa-c4chg-yaqca-aaapb-a,962,181088
3sc73-mqkor-uwiaa-aaaaa-cuarg-yaqca-acyxv-q,1613,chn5g-3qkor-uwiaa-aaaaa-c4chg-yaqca-aaazg-q,1613,181739
3sbja-5qkor-uwiaa-aaaaa-cuarg-yaqca-acyhz-a,596,chol5-kqkor-uwiaa-aaaaa-c4chg-yaqca-aaajk-a,596,180722
yv326-vqkor-uwiaa-aaaaa-cuarg-yaqca-acylp-a,832,ciovx-fqkor-uwiaa-aaaaa-c4chg-yaqca-aaana-a,832,180958
6n2ol-iakor-uwiaa-aaaaa-cuarg-yaqca-acyj2-a,726,cjvfz-jqkor-uwiaa-aaaaa-c4chg-yaqca-aaall-a,726,180852
nd4uj-nikor-uwiaa-aaaaa-cuarg-yaqca-acysa-q,1251,ckbt6-aykor-uwiaa-aaaaa-c4chg-yaqca-aaatr-q,1251,181377
nd7cs-4ikor-uwiaa-aaaaa-cuarg-yaqca-acycm-a,250,ckcff-rykor-uwiaa-aaaaa-c4chg-yaqca-aaad5-a,250,180376
n7ryp-hakor-uwiaa-aaaaa-cuarg-yaqca-acyuj-q,1397,cl2dq-mykor-uwiaa-aaaaa-c4chg-yaqca-aaav2-q,1397,181523
n7sou-wakor-uwiaa-aaaaa-cuarg-yaqca-acyef-a,364,clzvl-5ykor-uwiaa-aaaaa-c4chg-yaqca-aaafw-a,364,180490
tkocs-pykor-uwiaa-aaaaa-cuarg-yaqca-acydf-q,301,cmucj-4ikor-uwiaa-aaaaa-c4chg-yaqca-aaaew-q,301,180427
tknuj-6ykor-uwiaa-aaaaa-cuarg-yaqca-acytj-a,1332,cmxus-nikor-uwiaa-aaaaa-c4chg-yaqca-aaau2-a,1332,181458
qsnln-eykor-uwiaa-aaaaa-cuarg-yaqca-acyra-a,1186,cnme4-bikor-uwiaa-aaaaa-c4chg-yaqca-aaasr-a,1186,181312
qso5w-vykor-uwiaa-aaaaa-cuarg-yaqca-acybm-q,187,cnpsh-qikor-uwiaa-aaaaa-c4chg-yaqca-aaac5-q,187,180313
6kups-yqkor-uwiaa-aaaaa-cuarg-yaqca-acyyw-a,1678,co3ea-zakor-uwiaa-aaaaa-c4chg-yaqca-aaa2h-a,1678,181804
6kxzj-jqkor-uwiaa-aaaaa-cuarg-yaqca-acyi2-q,663,coys3-iakor-uwiaa-aaaaa-c4chg-yaqca-aaakl-q,663,180789
yswn4-uakor-uwiaa-aaaaa-cuarg-yaqca-acykp-q,769,cpdcv-eakor-uwiaa-aaaaa-c4chg-yaqca-aaama-q,769,180895
qp3xf-cqkor-uwiaa-aaaaa-cuarg-yaqca-acyrc-a,1190,cq2yu-hakor-uwiaa-aaaaa-c4chg-yaqca-aaast-a,1190,181316
qpyb6-tqkor-uwiaa-aaaaa-cuarg-yaqca-acybo-q,191,cqzop-wakor-uwiaa-aaaaa-c4chg-yaqca-aaac7-q,191,180317
r2nbr-nakor-uwiaa-aaaaa-cuarg-yaqca-acyth-a,1328,crbi2-lakor-uwiaa-aaaaa-c4chg-yaqca-aaauy-a,1328,181454
smvgk-fakor-uwiaa-aaaaa-cuarg-yaqca-acydd-q,297,crc6b-2akor-uwiaa-aaaaa-c4chg-yaqca-aaaeu-q,297,180423
5pb2f-vykor-uwiaa-aaaaa-cuarg-yaqca-acykr-q,773,csv65-cikor-uwiaa-aaaaa-c4chg-yaqca-aaamc-q,773,180899
6xct2-6ykor-uwiaa-aaaaa-cuarg-yaqca-acyyu-a,1674,ctnyi-7ikor-uwiaa-aaaaa-c4chg-yaqca-aaa2f-a,1674,181800
6xbfb-pykor-uwiaa-aaaaa-cuarg-yaqca-acyiy-q,659,ctoot-oikor-uwiaa-aaaaa-c4chg-yaqca-aaakj-q,659,180785
6qmsd-oikor-uwiaa-aaaaa-cuarg-yaqca-acyjy-a,722,cudzr-pykor-uwiaa-aaaaa-c4chg-yaqca-aaalj-a,722,180848
5imnh-uikor-uwiaa-aaaaa-cuarg-yaqca-acylr-a,836,cvyj7-dykor-uwiaa-aaaaa-c4chg-yaqca-aaanc-a,836,180962
pprnx-uykor-uwiaa-aaaaa-cuarg-yaqca-acyuh-q,1393,cwm7y-kqkor-uwiaa-aaaaa-c4chg-yaqca-aaavy-q,1393,181519
mzjkm-4ykor-uwiaa-aaaaa-cuarg-yaqca-acyed-a,360,cwpjd-3qkor-uwiaa-aaaaa-c4chg-yaqca-aaafu-a,360,180486
n6j62-2akor-uwiaa-aaaaa-cuarg-yaqca-acyco-a,254,cxuzn-xqkor-uwiaa-aaaaa-c4chg-yaqca-aaad7-a,254,180380
n6kib-lakor-uwiaa-aaaaa-cuarg-yaqca-acysc-q,1255,cxxpw-gqkor-uwiaa-aaaaa-c4chg-yaqca-aaatt-q,1255,181381
nrjaq-vakor-uwiaa-aaaaa-cuarg-yaqca-acyge-a,490,cyuhh-yqkor-uwiaa-aaaaa-c4chg-yaqca-aaahv-a,490,180616
nrkwl-eakor-uwiaa-aaaaa-cuarg-yaqca-acywi-q,1523,cyxr4-jqkor-uwiaa-aaaaa-c4chg-yaqca-aaaxz-q,1523,181649
nnh2n-oikor-uwiaa-aaaaa-cuarg-yaqca-acyqb-q,1125,czmbs-fqkor-uwiaa-aaaaa-c4chg-yaqca-aaars-q,1125,181251
nnemw-7ikor-uwiaa-aaaaa-cuarg-yaqca-acyan-a,124,czpxj-uqkor-uwiaa-aaaaa-c4chg-yaqca-aaab6-a,124,180250
7627t-kakor-uwiaa-aaaaa-cuarg-yaqca-acymu-q,907,d2vub-lqkor-uwiaa-aaaaa-c4chg-yaqca-aaaof-q,907,181033
2ocqj-bqkor-uwiaa-aaaaa-cuarg-yaqca-acywr-a,1540,d3nsu-wqkor-uwiaa-aaaaa-c4chg-yaqca-aaayc-a,1540,181666
2obgs-qqkor-uwiaa-aaaaa-cuarg-yaqca-acyg5-q,541,d3oep-hqkor-uwiaa-aaaaa-c4chg-yaqca-aaaio-q,541,180667
2jphl-aakor-uwiaa-aaaaa-cuarg-yaqca-acyxr-q,1605,d4afw-xakor-uwiaa-aaaaa-c4chg-yaqca-aaazc-q,1605,181731
2jmrq-rakor-uwiaa-aaaaa-cuarg-yaqca-acyh5-a,604,d4dtn-gakor-uwiaa-aaaaa-c4chg-yaqca-aaajo-a,604,180730
7zxir-lqkor-uwiaa-aaaaa-cuarg-yaqca-acynu-a,970,d5ydd-kakor-uwiaa-aaaaa-c4chg-yaqca-aaapf-a,970,181096
mxrst-oykor-uwiaa-aaaaa-cuarg-yaqca-acywo-q,1535,d6mve-dikor-uwiaa-aaaaa-c4chg-yaqca-aaax7-q,1535,181661
mxsei-7ykor-uwiaa-aaaaa-cuarg-yaqca-acygc-a,486,d6pd7-sikor-uwiaa-aaaaa-c4chg-yaqca-aaaht-a,486,180612
ogjb6-aakor-uwiaa-aaaaa-cuarg-yaqca-acyah-a,112,d7utr-6ikor-uwiaa-aaaaa-c4chg-yaqca-aaaby-a,112,180238
nqrgf-iakor-uwiaa-aaaaa-cuarg-yaqca-acyqd-q,1129,d7xfk-pikor-uwiaa-aaaaa-c4chg-yaqca-aaaru-q,1129,181255
7ebuz-nykor-uwiaa-aaaaa-cuarg-yaqca-acynw-a,974,dao7l-mikor-uwiaa-aaaaa-c4chg-yaqca-aaaph-a,974,181100
3pxvi-3ykor-uwiaa-aaaaa-cuarg-yaqca-acyh3-a,600,dbvpf-aikor-uwiaa-aaaaa-c4chg-yaqca-aaajm-a,600,180726
7uyqs-bykor-uwiaa-aaaaa-cuarg-yaqca-acyxp-q,1601,dbwz6-rikor-uwiaa-aaaaa-c4chg-yaqca-aaaza-q,1601,181727
mwkc5-cykor-uwiaa-aaaaa-cuarg-yaqca-acyqf-q,1133,dcbzc-jakor-uwiaa-aaaaa-c4chg-yaqca-aaarw-q,1133,181259
mwjug-tykor-uwiaa-aaaaa-cuarg-yaqca-acyaj-a,116,dccpz-yakor-uwiaa-aaaaa-c4chg-yaqca-aaab2-a,116,180242
mkho3-iqkor-uwiaa-aaaaa-cuarg-yaqca-acywm-q,1531,dd2jm-fakor-uwiaa-aaaaa-c4chg-yaqca-aaax5-q,1531,181657
mkeya-zqkor-uwiaa-aaaaa-cuarg-yaqca-acyga-a,482,ddz7x-uakor-uwiaa-aaaaa-c4chg-yaqca-aaahr-a,482,180608
r3vhe-qakor-uwiaa-aaaaa-cuarg-yaqca-acyfa-q,419,deuiv-vqkor-uwiaa-aaaaa-c4chg-yaqca-aaagr-q,419,180545
r3wr7-bakor-uwiaa-aaaaa-cuarg-yaqca-acyvm-a,1466,dex6o-eqkor-uwiaa-aaaaa-c4chg-yaqca-aaaw5-a,1466,181592
y23eu-2qkor-uwiaa-aaaaa-cuarg-yaqca-acypf-a,1068,dfmoa-iqkor-uwiaa-aaaaa-c4chg-yaqca-aaaqw-a,1068,181194
efl5i-uakor-uwiaa-aaaaa-cuarg-yaqca-acx7j-q,53,dfpy3-zqkor-uwiaa-aaaaa-c4chg-yaqca-aaaa2-q,53,180179
7tvhq-aikor-uwiaa-aaaaa-cuarg-yaqca-acywp-a,1536,dg3o4-qykor-uwiaa-aaaaa-c4chg-yaqca-aaaya-a,1536,181662
3i2ck-2ikor-uwiaa-aaaaa-cuarg-yaqca-acyg3-q,537,dgyyh-bykor-uwiaa-aaaaa-c4chg-yaqca-aaaim-q,537,180663
7dmd3-mikor-uwiaa-aaaaa-cuarg-yaqca-acymw-q,911,dhdij-nykor-uwiaa-aaaaa-c4chg-yaqca-aaaoh-q,911,181037
7mplk-sikor-uwiaa-aaaaa-cuarg-yaqca-acyyq-a,1666,diaay-tykor-uwiaa-aaaaa-c4chg-yaqca-aaa2b-a,1666,181792
7mm5r-dikor-uwiaa-aaaaa-cuarg-yaqca-acyi4-q,667,didwd-cykor-uwiaa-aaaaa-c4chg-yaqca-aaakn-q,667,180793
4umcv-zikor-uwiaa-aaaaa-cuarg-yaqca-acykv-q,781,djygn-oykor-uwiaa-aaaaa-c4chg-yaqca-aaamg-q,781,180907
tx3ib-yqkor-uwiaa-aaaaa-cuarg-yaqca-acytl-a,1336,dkmqk-hqkor-uwiaa-aaaaa-c4chg-yaqca-aaau4-a,1336,181462
zx2jy-gqkor-uwiaa-aaaaa-cuarg-yaqca-acyc7-q,289,dkpgr-wqkor-uwiaa-aaaaa-c4chg-yaqca-aaaeq-q,289,180415
ruvzo-7akor-uwiaa-aaaaa-cuarg-yaqca-acybk-q,183,dluw7-2qkor-uwiaa-aaaaa-c4chg-yaqca-aaac3-q,183,180309
ruwpv-oakor-uwiaa-aaaaa-cuarg-yaqca-acyrg-a,1198,dlxae-lqkor-uwiaa-aaaaa-c4chg-yaqca-aaasx-a,1198,181324
mfhqr-hqkor-uwiaa-aaaaa-cuarg-yaqca-acysg-q,1263,dm2xg-kakor-uwiaa-aaaaa-c4chg-yaqca-aaatx-q,1263,181389
mfegk-wqkor-uwiaa-aaaaa-cuarg-yaqca-acyck-a,246,dmzb5-3akor-uwiaa-aaaaa-c4chg-yaqca-aaad3-a,246,180372
ncheh-bikor-uwiaa-aaaaa-cuarg-yaqca-acyul-q,1401,dnbhi-gakor-uwiaa-aaaaa-c4chg-yaqca-aaav4-q,1401,181527
zqx62-hakor-uwiaa-aaaaa-cuarg-yaqca-acyd7-a,352,dncrt-xakor-uwiaa-aaaaa-c4chg-yaqca-aaafq-a,352,180478
4tbvx-yykor-uwiaa-aaaaa-cuarg-yaqca-acylv-a,844,dovrp-pikor-uwiaa-aaaaa-c4chg-yaqca-aaang-a,844,180970
7lc4i-tykor-uwiaa-aaaaa-cuarg-yaqca-acyzq-q,1731,dpnx2-sikor-uwiaa-aaaaa-c4chg-yaqca-aaa3b-q,1731,181857
7lbkt-cykor-uwiaa-aaaaa-cuarg-yaqca-acyj4-a,730,dpobb-dikor-uwiaa-aaaaa-c4chg-yaqca-aaaln-a,730,180856
me7we-2qkor-uwiaa-aaaaa-cuarg-yaqca-acyeb-a,356,dqun3-rikor-uwiaa-aaaaa-c4chg-yaqca-aaafs-a,356,180482
me4a7-lqkor-uwiaa-aaaaa-cuarg-yaqca-acyun-q,1405,dqx3a-aikor-uwiaa-aaaaa-c4chg-yaqca-aaav6-q,1405,181531
myrmz-bykor-uwiaa-aaaaa-cuarg-yaqca-acyse-q,1259,drmlo-mikor-uwiaa-aaaaa-c4chg-yaqca-aaatv-q,1259,181385
mys2c-qykor-uwiaa-aaaaa-cuarg-yaqca-acyci-a,242,drp5v-5ikor-uwiaa-aaaaa-c4chg-yaqca-aaadz-a,242,180368
7wxw3-eqkor-uwiaa-aaaaa-cuarg-yaqca-acyj6-a,734,dsy5j-fakor-uwiaa-aaaaa-c4chg-yaqca-aaalp-a,734,180860
5v2rp-sakor-uwiaa-aaaaa-cuarg-yaqca-acylt-a,840,dtdnh-jakor-uwiaa-aaaaa-c4chg-yaqca-aaane-a,840,180966
5sxgn-tqkor-uwiaa-aaaaa-cuarg-yaqca-acykt-q,777,duo2f-iqkor-uwiaa-aaaaa-c4chg-yaqca-aaame-q,777,180903
7r2bz-fakor-uwiaa-aaaaa-cuarg-yaqca-acyi6-q,671,dvvkl-eqkor-uwiaa-aaaaa-c4chg-yaqca-aaakp-q,671,180797
7rzxc-uakor-uwiaa-aaaaa-cuarg-yaqca-acyys-a,1670,dvw4q-vqkor-uwiaa-aaaaa-c4chg-yaqca-aaa2d-a,1670,181796
rjat5-iikor-uwiaa-aaaaa-cuarg-yaqca-acyre-a,1194,dwb4m-nykor-uwiaa-aaaaa-c4chg-yaqca-aaasv-a,1194,181320
rjdfg-zikor-uwiaa-aaaaa-cuarg-yaqca-acybi-q,179,dwckx-4ykor-uwiaa-aaaaa-c4chg-yaqca-aaacz-q,179,180305
sramz-sikor-uwiaa-aaaaa-cuarg-yaqca-acytn-a,1340,dx2mc-bykor-uwiaa-aaaaa-c4chg-yaqca-aaau6-a,1340,181466
srd2c-dikor-uwiaa-aaaaa-cuarg-yaqca-acydb-q,293,dxz2z-qykor-uwiaa-aaaaa-c4chg-yaqca-aaaes-q,293,180419
z4aam-qikor-uwiaa-aaaaa-cuarg-yaqca-acypd-a,1064,dy2si-oykor-uwiaa-aaaaa-c4chg-yaqca-aaaqu-a,1064,181190
gvliq-hykor-uwiaa-aaaaa-cuarg-yaqca-acx7h-q,49,dyzet-7ykor-uwiaa-aaaaa-c4chg-yaqca-aaaay-q,49,180175
rganx-hikor-uwiaa-aaaaa-cuarg-yaqca-acyvo-a,1470,dzbcg-cykor-uwiaa-aaaaa-c4chg-yaqca-aaaw7-a,1470,181596
rgd3m-wikor-uwiaa-aaaaa-cuarg-yaqca-acyfc-q,423,dzcu5-tykor-uwiaa-aaaaa-c4chg-yaqca-aaagt-q,423,180549
3hzk3-eikor-uwiaa-aaaaa-cuarg-yaqca-acys5-a,1308,e2nod-tykor-uwiaa-aaaaa-c4chg-yaqca-aaauo-a,1308,181434
3h24a-vikor-uwiaa-aaaaa-cuarg-yaqca-acycr-q,261,e2oyy-cykor-uwiaa-aaaaa-c4chg-yaqca-aaaec-q,261,180387
y72de-pikor-uwiaa-aaaaa-cuarg-yaqca-acyay-q,147,e3viw-oykor-uwiaa-aaaaa-c4chg-yaqca-aaacj-q,147,180273
y7zv7-6ikor-uwiaa-aaaaa-cuarg-yaqca-acyqu-a,1162,e3w6n-7ykor-uwiaa-aaaaa-c4chg-yaqca-aaasf-a,1162,181288
yyuc5-7ykor-uwiaa-aaaaa-cuarg-yaqca-acyru-q,1227,e43jp-6ikor-uwiaa-aaaaa-c4chg-yaqca-aaatf-q,1227,181353
yyxug-oykor-uwiaa-aaaaa-cuarg-yaqca-acyby-a,210,e4y7u-pikor-uwiaa-aaaaa-c4chg-yaqca-aaadj-a,210,180336
3au5z-fykor-uwiaa-aaaaa-cuarg-yaqca-acyt5-q,1373,e5azb-sikor-uwiaa-aaaaa-c4chg-yaqca-aaavo-q,1373,181499
3axlc-uykor-uwiaa-aaaaa-cuarg-yaqca-acydr-a,324,e5dp2-dikor-uwiaa-aaaaa-c4chg-yaqca-aaafc-a,324,180450
krsmj-4ikor-uwiaa-aaaaa-cuarg-yaqca-acymd-a,872,e6upg-3akor-uwiaa-aaaaa-c4chg-yaqca-aaanu-a,872,180998
lwsy7-2qkor-uwiaa-aaaaa-cuarg-yaqca-acyko-a,766,e7p7i-xakor-uwiaa-aaaaa-c4chg-yaqca-aaal7-a,766,180892
65a43-vakor-uwiaa-aaaaa-cuarg-yaqca-acydp-a,320,eavts-fakor-uwiaa-aaaaa-c4chg-yaqca-aaafa-a,320,180446
2gpzb-pakor-uwiaa-aaaaa-cuarg-yaqca-acyt3-q,1369,eawfj-uakor-uwiaa-aaaaa-c4chg-yaqca-aaavm-q,1369,181495
yfc6v-zqkor-uwiaa-aaaaa-cuarg-yaqca-acyrw-q,1231,ebnvh-yakor-uwiaa-aaaaa-c4chg-yaqca-aaath-q,1231,181357
yfbio-iqkor-uwiaa-aaaaa-cuarg-yaqca-acyb2-a,214,ebod4-jakor-uwiaa-aaaaa-c4chg-yaqca-aaadl-a,214,180340
lleex-4ykor-uwiaa-aaaaa-cuarg-yaqca-acykm-a,762,eczda-rikor-uwiaa-aaaaa-c4chg-yaqca-aaal5-a,762,180888
lxjir-wqkor-uwiaa-aaaaa-cuarg-yaqca-acymf-a,876,edcto-5ikor-uwiaa-aaaaa-c4chg-yaqca-aaanw-a,876,181002
vcvex-pikor-uwiaa-aaaaa-cuarg-yaqca-acylf-q,813,eepem-4ykor-uwiaa-aaaaa-c4chg-yaqca-aaamw-q,813,180939
w2v3t-vikor-uwiaa-aaaaa-cuarg-yaqca-acyjm-q,699,efuuc-qykor-uwiaa-aaaaa-c4chg-yaqca-aaak5-q,699,180825
w2wni-eikor-uwiaa-aaaaa-cuarg-yaqca-acyza-a,1698,efxcz-bykor-uwiaa-aaaaa-c4chg-yaqca-aaa2r-a,1698,181824
ycpjx-yakor-uwiaa-aaaaa-cuarg-yaqca-acyqw-a,1166,egacf-zqkor-uwiaa-aaaaa-c4chg-yaqca-aaash-a,1166,181292
ycm7m-jakor-uwiaa-aaaaa-cuarg-yaqca-acya2-q,151,egdu6-iqkor-uwiaa-aaaaa-c4chg-yaqca-aaacl-q,151,180277
2bcod-oqkor-uwiaa-aaaaa-cuarg-yaqca-acys3-a,1304,eh3sl-vqkor-uwiaa-aaaaa-c4chg-yaqca-aaaum-a,1304,181430
62nlz-uqkor-uwiaa-aaaaa-cuarg-yaqca-acycp-q,257,ehyeq-eqkor-uwiaa-aaaaa-c4chg-yaqca-aaaea-q,257,180383
rmccw-mqkor-uwiaa-aaaaa-cuarg-yaqca-acyov-a,1036,ei3mb-2qkor-uwiaa-aaaaa-c4chg-yaqca-aaaqg-a,1036,181162
nts3k-cakor-uwiaa-aaaaa-cuarg-yaqca-acx6z-q,21,eiy22-lqkor-uwiaa-aaaaa-c4chg-yaqca-aaaak-q,21,180147
ynpx5-xakor-uwiaa-aaaaa-cuarg-yaqca-acyu4-a,1434,eja4p-wqkor-uwiaa-aaaaa-c4chg-yaqca-aaawn-a,1434,181560
ynmbg-gakor-uwiaa-aaaaa-cuarg-yaqca-acyeq-q,387,ejdku-hqkor-uwiaa-aaaaa-c4chg-yaqca-aaagb-q,387,180513
wvvfz-2ikor-uwiaa-aaaaa-cuarg-yaqca-acyng-q,943,ekuki-7ykor-uwiaa-aaaaa-c4chg-yaqca-aaaox-q,943,181069
y6cfr-sikor-uwiaa-aaaaa-cuarg-yaqca-acyw7-a,1568,elmm5-cykor-uwiaa-aaaaa-c4chg-yaqca-aaayq-a,1568,181694
s6dei-mikor-uwiaa-aaaaa-cuarg-yaqca-acyhl-q,569,elp2g-tykor-uwiaa-aaaaa-c4chg-yaqca-aaai4-q,569,180695
yzpst-tykor-uwiaa-aaaaa-cuarg-yaqca-acyx7-q,1633,emb37-dikor-uwiaa-aaaaa-c4chg-yaqca-aaazq-q,1633,181759
kdeol-vakor-uwiaa-aaaaa-cuarg-yaqca-acyil-a,632,emcne-sikor-uwiaa-aaaaa-c4chg-yaqca-aaaj4-a,632,180758
lee25-tykor-uwiaa-aaaaa-cuarg-yaqca-acyog-a,1006,enz5k-6ikor-uwiaa-aaaaa-c4chg-yaqca-aaapx-a,1006,181132
ykca7-wqkor-uwiaa-aaaaa-cuarg-yaqca-acyv4-q,1499,eonln-xakor-uwiaa-aaaaa-c4chg-yaqca-aaaxn-q,1499,181625
ykbwe-hqkor-uwiaa-aaaaa-cuarg-yaqca-acyfq-a,450,eoo5w-gakor-uwiaa-aaaaa-c4chg-yaqca-aaahb-a,450,180576
nu7mi-dqkor-uwiaa-aaaaa-cuarg-yaqca-acx7z-a,84,epvny-kakor-uwiaa-aaaaa-c4chg-yaqca-aaabk-a,84,180210
rlpvu-nakor-uwiaa-aaaaa-cuarg-yaqca-acypv-q,1101,epw3d-3akor-uwiaa-aaaaa-c4chg-yaqca-aaarg-q,1101,181227
lzsgv-vqkor-uwiaa-aaaaa-cuarg-yaqca-acyoe-a,1002,eqpbc-yakor-uwiaa-aaaaa-c4chg-yaqca-aaapv-a,1002,181128
lf7kt-7ykor-uwiaa-aaaaa-cuarg-yaqca-acyin-a,636,erurm-uakor-uwiaa-aaaaa-c4chg-yaqca-aaaj6-a,636,180762
lf44i-oykor-uwiaa-aaaaa-cuarg-yaqca-acyyb-q,1637,erxhx-fakor-uwiaa-aaaaa-c4chg-yaqca-aaazs-q,1637,181763
qnurm-hykor-uwiaa-aaaaa-cuarg-yaqca-acypt-q,1097,esahl-5ikor-uwiaa-aaaaa-c4chg-yaqca-aaare-q,1097,181223
pe7zq-qikor-uwiaa-aaaaa-cuarg-yaqca-acx7x-a,80,esdrq-mikor-uwiaa-aaaaa-c4chg-yaqca-aaabi-a,80,180206
yxu4x-qykor-uwiaa-aaaaa-cuarg-yaqca-acyv6-q,1503,et3xf-rikor-uwiaa-aaaaa-c4chg-yaqca-aaaxp-q,1503,181629
yxxkm-bykor-uwiaa-aaaaa-cuarg-yaqca-acyfs-a,454,etyb6-aikor-uwiaa-aaaaa-c4chg-yaqca-aaahd-a,454,180580
yq25o-aikor-uwiaa-aaaaa-cuarg-yaqca-acyes-q,391,euvw4-bykor-uwiaa-aaaaa-c4chg-yaqca-aaagd-q,391,180517
yqzlv-rikor-uwiaa-aaaaa-cuarg-yaqca-acyu6-a,1438,euwah-qykor-uwiaa-aaaaa-c4chg-yaqca-aaawp-a,1438,181564
qkzgo-gikor-uwiaa-aaaaa-cuarg-yaqca-acyot-a,1032,evnqj-4ykor-uwiaa-aaaaa-c4chg-yaqca-aaaqe-a,1032,181158
pdsos-rykor-uwiaa-aaaaa-cuarg-yaqca-acx6x-q,17,evogs-nykor-uwiaa-aaaaa-c4chg-yaqca-aaaai-q,17,180143
ty3wl-xqkor-uwiaa-aaaaa-cuarg-yaqca-acyxb-a,1572,ew2qv-eqkor-uwiaa-aaaaa-c4chg-yaqca-aaays-a,1572,181698
tyyaq-gqkor-uwiaa-aaaaa-cuarg-yaqca-acyhn-q,573,ewzgo-vqkor-uwiaa-aaaaa-c4chg-yaqca-aaai6-q,573,180699
widzr-4akor-uwiaa-aaaaa-cuarg-yaqca-acyne-q,939,excwa-zqkor-uwiaa-aaaaa-c4chg-yaqca-aaaov-q,939,181065
whara-cakor-uwiaa-aaaaa-cuarg-yaqca-acyzc-a,1702,eyb6r-hqkor-uwiaa-aaaaa-c4chg-yaqca-aaa2t-a,1702,181828
whdh3-takor-uwiaa-aaaaa-cuarg-yaqca-acyjo-q,703,eycik-wqkor-uwiaa-aaaaa-c4chg-yaqca-aaak7-q,703,180829
ueoap-fqkor-uwiaa-aaaaa-cuarg-yaqca-acyld-q,809,ezzye-2qkor-uwiaa-aaaaa-c4chg-yaqca-aaamu-q,809,180935
z6pgf-vakor-uwiaa-aaaaa-cuarg-yaqca-acyrs-q,1223,f2anx-uqkor-uwiaa-aaaaa-c4chg-yaqca-aaatd-q,1223,181349
